first department
  days 		 payment
1. 9		888.84
2. 3		296.28
3. 30		2962.8
4. 4		395.04
5. 1		98.76
6. 12		1185.12
7. 22		2172.72
8. 14		1382.64
9. 18		1777.68
10. 16		1580.16
11. 9		888.84
12. 17		1678.92
13. 17		1678.92
14. 27		2666.52
15. 9		888.84
avrg tax = 342.368
second department
  days 		 payment
1. 11		1086.36
2. 19		1876.44
3. 6		592.56
4. 27		2666.52
5. 28		2765.28
6. 7		691.32
7. 12		1185.12
8. 30		2962.8
9. 25		2469
10. 4		395.04
11. 30		2962.8
12. 13		1283.88
13. 28		2765.28
14. 6		592.56
15. 23		2271.48
16. 7		691.32
17. 30		2962.8
18. 19		1876.44
19. 18		1777.68
20. 13		1283.88
avrg tax = 696.258
